,p1,p2,p3,p4,ll
171,0.01,0.11000000000000001,0.5350000000000003,0.34499999999999975,-686.6083697930848
172,0.01,0.11000000000000001,0.5600000000000003,0.31999999999999973,-695.4626915886769
173,0.01,0.11000000000000001,0.5850000000000003,0.2949999999999997,-707.6299016700449
174,0.01,0.11000000000000001,0.6100000000000003,0.2699999999999997,-723.5006232239098
175,0.01,0.11000000000000001,0.6350000000000003,0.24499999999999966,-743.6014001405788
176,0.01,0.11000000000000001,0.6600000000000004,0.21999999999999964,-768.650238737654
177,0.01,0.11000000000000001,0.6850000000000004,0.19499999999999962,-799.6463590129033
178,0.01,0.11000000000000001,0.7100000000000004,0.1699999999999996,-838.0223835887904
179,0.01,0.11000000000000001,0.7350000000000004,0.14499999999999957,-885.9189456435291
180,0.01,0.11000000000000001,0.7600000000000005,0.11999999999999955,-946.7221691975595
181,0.01,0.11000000000000001,0.7850000000000005,0.09499999999999953,-1026.2381946950582
182,0.01,0.11000000000000001,0.8100000000000005,0.06999999999999951,-1135.70001325909
183,0.01,0.11000000000000001,0.8350000000000005,0.044999999999999485,-1301.6690161433855
184,0.01,0.11000000000000001,0.8600000000000005,0.019999999999999463,-1619.740849840987
185,0.01,0.135,0.01,0.845,-1167.3105312729024
186,0.01,0.135,0.035,0.82,-1091.5796099616423
187,0.01,0.135,0.060000000000000005,0.7949999999999999,-1027.7037921466842
188,0.01,0.135,0.085,0.77,-973.0600644239581
189,0.01,0.135,0.11000000000000001,0.745,-925.850137129825
190,0.01,0.135,0.135,0.72,-884.7919545792975
191,0.01,0.135,0.16,0.695,-848.943874033242
192,0.01,0.135,0.185,0.6699999999999999,-817.5985657146474
193,0.01,0.135,0.21,0.645,-790.2160207780546
194,0.01,0.135,0.235,0.62,-766.3797056557175
195,0.01,0.135,0.26,0.595,-745.7670587771318
196,0.01,0.135,0.28500000000000003,0.57,-728.1292467645831
197,0.01,0.135,0.31000000000000005,0.5449999999999999,-713.2771376134339
198,0.01,0.135,0.3350000000000001,0.5199999999999999,-701.0716222263769
199,0.01,0.135,0.3600000000000001,0.4949999999999999,-691.4171237232183
200,0.01,0.135,0.3850000000000001,0.46999999999999986,-684.2575846030575
201,0.01,0.135,0.41000000000000014,0.44499999999999984,-679.5745300151623
202,0.01,0.135,0.43500000000000016,0.4199999999999998,-677.387039661786
203,0.01,0.135,0.4600000000000002,0.3949999999999998,-677.7536678276103
204,0.01,0.135,0.4850000000000002,0.3699999999999998,-680.7765700467023
205,0.01,0.135,0.5100000000000002,0.34499999999999975,-686.6083697930848
206,0.01,0.135,0.5350000000000003,0.31999999999999973,-695.4626915886769
207,0.01,0.135,0.5600000000000003,0.2949999999999997,-707.6299016700449
208,0.01,0.135,0.5850000000000003,0.2699999999999997,-723.5006232239098
209,0.01,0.135,0.6100000000000003,0.24499999999999966,-743.6014001405788
210,0.01,0.135,0.6350000000000003,0.21999999999999964,-768.650238737654
211,0.01,0.135,0.6600000000000004,0.19499999999999962,-799.6463590129033
212,0.01,0.135,0.6850000000000004,0.1699999999999996,-838.0223835887904
213,0.01,0.135,0.7100000000000004,0.14499999999999957,-885.9189456435291
214,0.01,0.135,0.7350000000000004,0.11999999999999955,-946.7221691975595
215,0.01,0.135,0.7600000000000005,0.09499999999999953,-1026.2381946950582
216,0.01,0.135,0.7850000000000005,0.06999999999999951,-1135.70001325909
217,0.01,0.135,0.8100000000000005,0.044999999999999485,-1301.6690161433855
218,0.01,0.135,0.8350000000000005,0.019999999999999463,-1619.740849840987
219,0.01,0.16,0.01,0.82,-1091.5796099616423
220,0.01,0.16,0.035,0.7949999999999999,-1027.7037921466842
221,0.01,0.16,0.060000000000000005,0.77,-973.0600644239581
222,0.01,0.16,0.085,0.745,-925.850137129825
223,0.01,0.16,0.11000000000000001,0.72,-884.7919545792975
224,0.01,0.16,0.135,0.695,-848.943874033242
225,0.01,0.16,0.16,0.6699999999999999,-817.5985657146474
226,0.01,0.16,0.185,0.645,-790.2160207780546
227,0.01,0.16,0.21,0.62,-766.3797056557175
228,0.01,0.16,0.235,0.595,-745.7670587771318
229,0.01,0.16,0.26,0.57,-728.1292467645831
230,0.01,0.16,0.28500000000000003,0.5449999999999999,-713.2771376134339
231,0.01,0.16,0.31000000000000005,0.5199999999999999,-701.0716222263769
232,0.01,0.16,0.3350000000000001,0.4949999999999999,-691.4171237232183
233,0.01,0.16,0.3600000000000001,0.46999999999999986,-684.2575846030575
234,0.01,0.16,0.3850000000000001,0.44499999999999984,-679.5745300151623
235,0.01,0.16,0.41000000000000014,0.4199999999999998,-677.387039661786
236,0.01,0.16,0.43500000000000016,0.3949999999999998,-677.7536678276103
237,0.01,0.16,0.4600000000000002,0.3699999999999998,-680.7765700467023
238,0.01,0.16,0.4850000000000002,0.34499999999999975,-686.6083697930848
239,0.01,0.16,0.5100000000000002,0.31999999999999973,-695.4626915886769
240,0.01,0.16,0.5350000000000003,0.2949999999999997,-707.6299016700449
241,0.01,0.16,0.5600000000000003,0.2699999999999997,-723.5006232239098
242,0.01,0.16,0.5850000000000003,0.24499999999999966,-743.6014001405788
243,0.01,0.16,0.6100000000000003,0.21999999999999964,-768.650238737654
244,0.01,0.16,0.6350000000000003,0.19499999999999962,-799.6463590129033
245,0.01,0.16,0.6600000000000004,0.1699999999999996,-838.0223835887904
246,0.01,0.16,0.6850000000000004,0.14499999999999957,-885.9189456435291
247,0.01,0.16,0.7100000000000004,0.11999999999999955,-946.7221691975595
248,0.01,0.16,0.7350000000000004,0.09499999999999953,-1026.2381946950582
249,0.01,0.16,0.7600000000000005,0.06999999999999951,-1135.70001325909
250,0.01,0.16,0.7850000000000005,0.044999999999999485,-1301.6690161433855
251,0.01,0.16,0.8100000000000005,0.019999999999999463,-1619.740849840987
252,0.01,0.185,0.01,0.7949999999999999,-1027.7037921466842
253,0.01,0.185,0.035,0.77,-973.0600644239581
254,0.01,0.185,0.060000000000000005,0.745,-925.850137129825
255,0.01,0.185,0.085,0.72,-884.7919545792975
256,0.01,0.185,0.11000000000000001,0.695,-848.943874033242
257,0.01,0.185,0.135,0.6699999999999999,-817.5985657146474
258,0.01,0.185,0.16,0.645,-790.2160207780546
259,0.01,0.185,0.185,0.62,-766.3797056557175
260,0.01,0.185,0.21,0.595,-745.7670587771318
261,0.01,0.185,0.235,0.5700000000000001,-728.1292467645831
262,0.01,0.185,0.26,0.5449999999999999,-713.2771376134339
263,0.01,0.185,0.28500000000000003,0.52,-701.0716222263769
264,0.01,0.185,0.31000000000000005,0.4949999999999999,-691.4171237232183
265,0.01,0.185,0.3350000000000001,0.47,-684.2575846030575
266,0.01,0.185,0.3600000000000001,0.44499999999999984,-679.5745300151623
267,0.01,0.185,0.3850000000000001,0.41999999999999993,-677.387039661786
268,0.01,0.185,0.41000000000000014,0.3949999999999998,-677.7536678276103
269,0.01,0.185,0.43500000000000016,0.3699999999999999,-680.7765700467023
270,0.01,0.185,0.4600000000000002,0.34499999999999975,-686.6083697930848
271,0.01,0.185,0.4850000000000002,0.31999999999999984,-695.4626915886769
272,0.01,0.185,0.5100000000000002,0.2949999999999997,-707.6299016700449
273,0.01,0.185,0.5350000000000003,0.2699999999999998,-723.5006232239098
274,0.01,0.185,0.5600000000000003,0.24499999999999966,-743.6014001405788
275,0.01,0.185,0.5850000000000003,0.21999999999999975,-768.650238737654
276,0.01,0.185,0.6100000000000003,0.19499999999999962,-799.6463590129033
277,0.01,0.185,0.6350000000000003,0.1699999999999997,-838.0223835887904
278,0.01,0.185,0.6600000000000004,0.14499999999999957,-885.9189456435291
279,0.01,0.185,0.6850000000000004,0.11999999999999966,-946.7221691975595
280,0.01,0.185,0.7100000000000004,0.09499999999999953,-1026.2381946950582
281,0.01,0.185,0.7350000000000004,0.06999999999999962,-1135.70001325909
282,0.01,0.185,0.7600000000000005,0.044999999999999485,-1301.6690161433855
283,0.01,0.185,0.7850000000000005,0.019999999999999574,-1619.740849840987
284,0.01,0.21,0.01,0.77,-973.0600644239581
285,0.01,0.21,0.035,0.745,-925.850137129825
286,0.01,0.21,0.060000000000000005,0.72,-884.7919545792975
287,0.01,0.21,0.085,0.6950000000000001,-848.943874033242
288,0.01,0.21,0.11000000000000001,0.6699999999999999,-817.5985657146474
289,0.01,0.21,0.135,0.645,-790.2160207780546
290,0.01,0.21,0.16,0.62,-766.3797056557175
291,0.01,0.21,0.185,0.595,-745.7670587771318
292,0.01,0.21,0.21,0.5700000000000001,-728.1292467645831
293,0.01,0.21,0.235,0.545,-713.2771376134339
294,0.01,0.21,0.26,0.52,-701.0716222263769
295,0.01,0.21,0.28500000000000003,0.495,-691.4171237232183
296,0.01,0.21,0.31000000000000005,0.47,-684.2575846030575
297,0.01,0.21,0.3350000000000001,0.44499999999999995,-679.5745300151623
298,0.01,0.21,0.3600000000000001,0.41999999999999993,-677.387039661786
299,0.01,0.21,0.3850000000000001,0.3949999999999999,-677.7536678276103
300,0.01,0.21,0.41000000000000014,0.3699999999999999,-680.7765700467023
301,0.01,0.21,0.43500000000000016,0.34499999999999986,-686.6083697930848
302,0.01,0.21,0.4600000000000002,0.31999999999999984,-695.4626915886769
303,0.01,0.21,0.4850000000000002,0.2949999999999998,-707.6299016700449
304,0.01,0.21,0.5100000000000002,0.2699999999999998,-723.5006232239098
305,0.01,0.21,0.5350000000000003,0.24499999999999977,-743.6014001405788
306,0.01,0.21,0.5600000000000003,0.21999999999999975,-768.650238737654
307,0.01,0.21,0.5850000000000003,0.19499999999999973,-799.6463590129033
308,0.01,0.21,0.6100000000000003,0.1699999999999997,-838.0223835887904
309,0.01,0.21,0.6350000000000003,0.14499999999999968,-885.9189456435291
310,0.01,0.21,0.6600000000000004,0.11999999999999966,-946.7221691975595
311,0.01,0.21,0.6850000000000004,0.09499999999999964,-1026.2381946950582
312,0.01,0.21,0.7100000000000004,0.06999999999999962,-1135.70001325909
313,0.01,0.21,0.7350000000000004,0.044999999999999596,-1301.6690161433855
314,0.01,0.21,0.7600000000000005,0.019999999999999574,-1619.740849840987
315,0.01,0.235,0.01,0.745,-925.850137129825
316,0.01,0.235,0.035,0.72,-884.7919545792975
317,0.01,0.235,0.060000000000000005,0.6950000000000001,-848.943874033242
318,0.01,0.235,0.085,0.6699999999999999,-817.5985657146474
319,0.01,0.235,0.11000000000000001,0.645,-790.2160207780546
320,0.01,0.235,0.135,0.62,-766.3797056557175
321,0.01,0.235,0.16,0.595,-745.7670587771318
322,0.01,0.235,0.185,0.5700000000000001,-728.1292467645831
323,0.01,0.235,0.21,0.545,-713.2771376134339
324,0.01,0.235,0.235,0.52,-701.0716222263769
325,0.01,0.235,0.26,0.495,-691.4171237232183
326,0.01,0.235,0.28500000000000003,0.47,-684.2575846030575
327,0.01,0.235,0.31000000000000005,0.44499999999999995,-679.5745300151623
328,0.01,0.235,0.3350000000000001,0.41999999999999993,-677.387039661786
329,0.01,0.235,0.3600000000000001,0.3949999999999999,-677.7536678276103
330,0.01,0.235,0.3850000000000001,0.3699999999999999,-680.7765700467023
331,0.01,0.235,0.41000000000000014,0.34499999999999986,-686.6083697930848
332,0.01,0.235,0.43500000000000016,0.31999999999999984,-695.4626915886769
333,0.01,0.235,0.4600000000000002,0.2949999999999998,-707.6299016700449
334,0.01,0.235,0.4850000000000002,0.2699999999999998,-723.5006232239098
335,0.01,0.235,0.5100000000000002,0.24499999999999977,-743.6014001405788
336,0.01,0.235,0.5350000000000003,0.21999999999999975,-768.650238737654
337,0.01,0.235,0.5600000000000003,0.19499999999999973,-799.6463590129033
338,0.01,0.235,0.5850000000000003,0.1699999999999997,-838.0223835887904
339,0.01,0.235,0.6100000000000003,0.14499999999999968,-885.9189456435291
340,0.01,0.235,0.6350000000000003,0.11999999999999966,-946.7221691975595
