,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,num_points
176,poly4_58959.uai,20,0.006185012867675047,0.17289255613117205,0.827107443868828,0.993814987132325,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17284615772687623,0.8271538422731238,0.9929395902697814,2.0,17.0
177,poly4_58959.uai,20,0.006185012867675047,0.17289255613117205,0.827107443868828,0.993814987132325,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17284615772687623,0.8271538422731238,0.9929395902697814,2.0,18.0
178,poly4_58959.uai,20,0.006185012867675047,0.1735896262164996,0.8264103737835005,0.993814987132325,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17356209616995621,0.8264379038300439,0.9929395902697814,3.0,19.0
179,poly4_58959.uai,20,0.006074138349529558,0.1735896262164996,0.8264103737835005,0.9939258616504705,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17356209616995621,0.8264379038300439,0.9929395902697814,2.0,20.0
180,poly6_39497.uai,20,0.043766938481155634,0.043766938481155634,0.9562330615188444,0.9562330615188444,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.043766938481155634,0.043766938481155634,0.9562330615188444,0.9562330615188444,84.0,1.0
181,poly6_39497.uai,20,0.040884539440484674,0.047222148728844206,0.952777851271156,0.9591154605595154,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.043766938481155634,0.04400232495036541,0.9559976750496346,0.9562330615188444,39.0,2.0
182,poly6_39497.uai,20,0.03820336252257134,0.047999931941803055,0.9520000680581969,0.9617966374774287,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.041370964850800454,0.04400232495036541,0.9559976750496346,0.9586290351491995,100.0,3.0
183,poly6_39497.uai,20,0.038022813177574666,0.0480252842137114,0.9519747157862886,0.9619771868224254,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.041281687173718204,0.04400232495036541,0.9559976750496346,0.9587183128262817,85.0,4.0
184,poly6_39497.uai,20,0.03699821800615987,0.04816915521685556,0.9518308447831444,0.9630017819938401,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.039792919086366785,0.04400232495036541,0.9559976750496346,0.9602070809136334,53.0,5.0
185,poly6_39497.uai,20,0.03699821800615987,0.04816915521685556,0.9518308447831444,0.9630017819938401,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.039792919086366785,0.04400232495036541,0.9559976750496346,0.9602070809136334,74.0,6.0
186,poly6_39497.uai,20,0.03673451885743363,0.05080954128697051,0.9491904587130295,0.9632654811425664,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.039792919086366785,0.04634225715865318,0.9536577428413469,0.9602070809136334,100.0,7.0
187,poly6_39497.uai,20,0.03673358096727474,0.050818932261961505,0.9491810677380386,0.9632664190327253,0.03713376,0.044678079999999995,0.95532192,0.96286624,0.039792919086366785,0.04634225715865318,0.9536577428413469,0.9602070809136334,74.0,8.0
